iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	44	18	40	20	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12				
2004	44	18	50	20	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078				
2004	44	19	0	20	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032				
2004	44	19	10	20	0	0	0	0	0	0	0	0				
2004	44	19	20	20	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01				
2004	44	19	30	20	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025				
2004	44	19	40	20	-0.035	-0.035	-0.035	-0.035	-0.035	-0.035	-0.035	-0.035				
2004	44	19	50	20	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041				
2004	44	20	0	20	-0.085	-0.085	-0.085	-0.085	-0.085	-0.085	-0.085	-0.085				
2004	44	20	10	20	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097				
2004	44	20	20	20	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097				
2004	44	20	30	20	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075				
2004	44	20	40	20	-0.059	-0.059	-0.059	-0.059	-0.059	-0.059	-0.059	-0.059				
2004	44	20	50	20	-0.054	-0.054	-0.054	-0.054	-0.054	-0.054	-0.054	-0.054				
2004	44	21	0	20	-0.051	-0.051	-0.051	-0.051	-0.051	-0.051	-0.051	-0.051				
2004	44	21	10	20	-0.053	-0.053	-0.053	-0.053	-0.053	-0.053	-0.053	-0.053				
2004	44	21	20	20	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05				
2004	44	21	30	20	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041				
2004	44	21	40	20	-0.039	-0.039	-0.039	-0.039	-0.039	-0.039	-0.039	-0.039				
2004	44	21	50	20	-0.029	-0.029	-0.029	-0.029	-0.029	-0.029	-0.029	-0.029				
2004	44	22	0	20	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03				
2004	44	22	10	20	-0.024	-0.024	-0.024	-0.024	-0.024	-0.024	-0.024	-0.024				
2004	44	22	20	20	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025				
2004	44	22	30	20	-0.021	-0.021	-0.021	-0.021	-0.021	-0.021	-0.021	-0.021				
2004	44	22	40	20	-0.018	-0.018	-0.018	-0.018	-0.018	-0.018	-0.018	-0.018				
